continent,country,date,total_cases_per_million,total_deaths_per_million,population,population_density
Europe,Italy,2020/11/1,11237.338,638.717,60461828,205.859
North America,Jamaica,2020/11/1,3071.093,69.567,2961161,266.879
Asia,Japan,2020/11/1,799.722,13.963,126476458,347.778
Europe,Jersey,2020/11/1,5679.064,316.603,101073,
Asia,Jordan,2020/11/1,7116.143,81.249,10203140,109.285
Asia,Kazakhstan,2020/11/1,8008.859,118.604,18776707,6.681
Africa,Kenya,2020/11/1,1026.421,18.523,53771300,87.324
Europe,Kosovo,2020/11/1,10266.074,352.343,1932774,168.155
Asia,Kuwait,2020/11/1,29486.979,182.412,4270563,232.128
Asia,Kyrgyzstan,2020/11/1,9111.168,176.267,6524191,32.333
Asia,Laos,2020/11/1,3.299,,7275556,29.715
Europe,Latvia,2020/11/1,3124.798,37.642,1886202,31.212
Asia,Lebanon,2020/11/1,11900.768,93.327,6825442,594.561
Africa,Lesotho,2020/11/1,908.857,20.072,2142252,73.562
Africa,Liberia,2020/11/1,281.948,16.213,5057677,49.127
Africa,Libya,2020/11/1,8891.347,124.722,6871287,3.623
Europe,Liechtenstein,2020/11/1,13975.929,78.664,38137,237.012
Europe,Lithuania,2020/11/1,5445.413,60.611,2722291,45.135
Europe,Luxembourg,2020/11/1,28648.063,250.808,625976,231.447
Europe,Macedonia,2020/11/1,15154.221,477.109,2083380,82.6
Africa,Madagascar,2020/11/1,612.762,8.812,27691019,43.951
Africa,Malawi,2020/11/1,309.985,9.618,19129955,197.519
Asia,Malaysia,2020/11/1,974.727,7.693,32365998,96.254
Asia,Maldives,2020/11/1,21569.092,70.3,540542,1454.433
Africa,Mali,2020/11/1,175.055,6.716,20250834,15.196
Europe,Malta,2020/11/1,13683.955,140.418,441539,1454.037
Oceania,Marshall Islands,2020/11/1,16.894,,59194,295.15
Africa,Mauritania,2020/11/1,1659.691,35.056,4649660,4.289
Africa,Mauritius,2020/11/1,346.762,7.863,1271767,622.962
North America,Mexico,2020/11/1,7173.988,711.635,128932753,66.444
Europe,Moldova,2020/11/1,18849.95,442.493,4033963,123.655
Europe,Monaco,2020/11/1,9147.895,25.482,39244,19347.5
Asia,Mongolia,2020/11/1,105.543,,3278292,1.98
Europe,Montenegro,2020/11/1,29202.531,479.252,628062,46.28
North America,Montserrat,2020/11/1,2600.52,200.04,4999,
Africa,Morocco,2020/11/1,5935.537,100.107,36910558,80.08
Africa,Mozambique,2020/11/1,411.736,2.943,31255435,37.728
Asia,Myanmar,2020/11/1,968.686,22.735,54409794,81.721
Africa,Namibia,2020/11/1,5090.684,52.343,2540916,3.078
Asia,Nepal,2020/11/1,5860.045,32.159,29136808,204.43
Europe,Netherlands,2020/11/1,20470.767,430.992,17134873,508.544
Oceania,New Caledonia,2020/11/1,98.077,,285491,15.342
Oceania,New Zealand,2020/11/1,332.419,5.184,4822233,18.206
North America,Nicaragua,2020/11/1,832.358,23.549,6624554,51.667
Africa,Niger,2020/11/1,50.399,2.85,24206636,16.955
Africa,Nigeria,2020/11/1,304.905,5.55,206139587,209.588
Oceania,Northern Mariana Islands,2020/11/1,1667.912,34.748,57557,119.878
Europe,Norway,2020/11/1,3608.583,52.018,5421242,14.462
Asia,Oman,2020/11/1,22408.943,236.556,5106622,14.98
Asia,Pakistan,2020/11/1,1511.913,30.888,220892331,255.573
Asia,Palestine,2020/11/1,12801.936,108.597,5101416,778.202
North America,Panama,2020/11/1,30962.963,625.758,4314768,55.133
Oceania,Papua New Guinea,2020/11/1,65.832,0.782,8947027,18.22
South America,Paraguay,2020/11/1,8858.708,196.845,7132530,17.144
South America,Peru,2020/11/1,27371.928,1045.619,32971846,25.129
Asia,Philippines,2020/11/1,3474.404,65.896,109581085,351.873
Europe,Poland,2020/11/1,9584.241,148.785,37846605,124.027
Europe,Portugal,2020/11/1,13855.355,245.864,10196707,112.371
North America,Puerto Rico,2020/11/1,23114.889,287.328,2860840,376.232
Asia,Qatar,2020/11/1,46009.455,80.526,2881060,227.322
Europe,Romania,2020/11/1,12545.118,362.206,19237682,85.129
Europe,Russia,2020/11/1,11087.964,191.798,145934460,8.823
Africa,Rwanda,2020/11/1,396.612,2.702,12952209,494.869
North America,Saint Kitts and Nevis,2020/11/1,357.197,,53192,212.865
North America,Saint Lucia,2020/11/1,424.77,,183629,293.187
North America,Saint Vincent and the Grenadines,2020/11/1,666.985,,110947,281.787
Europe,San Marino,2020/11/1,27343.98,1237.551,33938,556.667
Africa,Sao Tome and Principe,2020/11/1,4311.899,73.006,219161,212.841
Asia,Saudi Arabia,2020/11/1,9975.393,155.168,34813867,15.322
Africa,Senegal,2020/11/1,932.636,19.35,16743930,82.328
Europe,Serbia,2020/11/1,6900.336,120.507,6804596,80.291
Africa,Seychelles,2020/11/1,1555.827,,98340,208.354
Africa,Sierra Leone,2020/11/1,296.603,9.277,7976985,104.7
Asia,Singapore,2020/11/1,9916.513,4.786,5850343,7915.731
North America,Sint Maarten (Dutch part),2020/11/1,19262.161,513.036,42882,1209.088
Europe,Slovakia,2020/11/1,10561.863,40.113,5459643,113.128
Europe,Slovenia,2020/11/1,16502.223,111.115,2078932,102.619
Oceania,Solomon Islands,2020/11/1,11.647,,686878,21.841
Africa,Somalia,2020/11/1,247.967,6.544,15893219,23.5
Africa,South Africa,2020/11/1,12231.799,325.011,59308690,46.754
Asia,South Korea,2020/11/1,519.513,9.089,51269183,527.967
